Artist,Title,Energy
Kendrick Lamar,Not Like Us,
"Tyler, The Creator",Who Dat Boy,
21 Savage,redrum,
Three 6 Mafia,Stay Fly,
"Future, Metro Boomin & Kendrick Lamar",Like That,
Key Glock,Dirt,
Gucci Mane feat. Offset,Met Gala,
Kendrick Lamar,squabble up,
GoldLink feat. Brent Faiyaz & Shy Glizzy,Crew,
Gunna,fukumean,
Kendrick Lamar,DNA.,
Big Sean,Bounce Back,
Rich Gang feat. Young Thug & Rich Homie Quan,Lifestyle,
Rae Sremmurd,No Type,
Drake,Jumbotron Shit Poppin,
Kendrick Lamar,HUMBLE.,
Key Glock,Blue Devil,
Future,Mask Off,
Lil Uzi Vert,You Was Right,
Future feat. Drake,Life Is Good,
Kendrick Lamar,tv off,
Mike Jones feat. Slim Thug & Paul Wall,Still Tippin',
Kodak Black & Chance the Rapper,Still Get Chanel,
Kendrick Lamar,N95,
Kodak Black & Pharrell Williams,Mumble Rap,
Mike WiLL Made-It & 21 Savage,ATL (APPR3CIAT3 TH3 LOV3),
ScHoolboy Q feat. Kendrick Lamar,Collard Greens,
"Mike WiLL Made-It, Travis Porter & Monaleo",STANDING O,
ScHoolboy Q,Man of the Year,
JID,Surround Sound,
ScHoolboy Q feat. Kanye West,THat Part,
JID,Dance Now,
ScHoolboy Q,Break the Bank,
JID,Never,
Denzel Curry,Walkin,
JID,151 Rum,
Denzel Curry,RICKY,
MF DOOM,That's That,
Denzel Curry,Ultimate,
Madvillain,Accordion,
Wu-Tang Clan,C.R.E.A.M.,
Kendrick Lamar feat. MC Eiht,m.A.A.d city,
Wu-Tang Clan,Triumph,
Kendrick Lamar feat. Jay Rock,Money Trees,
ScHoolboy Q feat. BJ the Chicago Kid,Studio,
Kat Dahlia,Gangsta,
Drake,Passionfruit,
Childish Gambino,Redbone,
Bryson Tiller,Don't,
Wale feat. Miguel,Lotus Flower Bomb,
Outkast,Ms. Jackson,
2Pac,California Love,
Outkast,"So Fresh, So Clean",
Dr. Dre & Snoop Dogg,Nuthin' But A 'G' Thang,
Outkast,ATLiens,
Snoop Dogg,Gin and Juice,
Outkast,Rosa Parks,
The Notorious B.I.G.,Big Poppa,
Bone Thugs-n-Harmony,Thuggish Ruggish Bone,
Outkast,B.O.B. (Bombs Over Baghdad),
A$AP Rocky feat. Skrillex & Birdy Nam Nam,Wild for the Night,
Travis Scott,SICKO MODE,
Kid Cudi feat. MGMT & Ratatat,Pursuit of Happiness (Nightmare),
Outkast,Hey Ya!,
Kendrick Lamar,King Kunta,
Future,March Madness,
Kendrick Lamar,Alright,
Future,Codeine Crazy,
Kendrick Lamar,Backseat Freestyle,
21 Savage feat. J. Cole,a lot,
Young Thug,Check,
21 Savage,Bank Account,
Young Thug,Best Friend,
Migos feat. Lil Uzi Vert,Bad and Boujee,
Lil Wayne,A Milli,
Migos,T-Shirt,
Lil Wayne feat. Cory Gunz,6 Foot 7 Foot,
Clipse,Grindin',
Pusha T,Numbers on the Boards,
Vince Staples,Norf Norf,
Run The Jewels,Legend Has It,
Freddie Gibbs & Madlib,Crime Pays,
JPEGMAFIA,1539 N. Calvert,
Danny Brown,Ain't It Funny,
Earl Sweatshirt feat. Vince Staples & Casey Veggies,Hive,
"Tyler, The Creator",EARFQUAKE,
A$AP Rocky feat. Skepta,Praise The Lord (Da Shine),
Travis Scott feat. Kendrick Lamar,goosebumps,
Chief Keef,Love Sosa,
Meek Mill,Dreams and Nightmares,
Rick Ross feat. Styles P,B.M.F. (Blowin' Money Fast),
T.I.,What You Know,
UGK feat. Outkast,Int'l Players Anthem (I Choose You),
Juvenile feat. Mannie Fresh & Lil Wayne,Back That Azz Up,
Lil Jon & The East Side Boyz feat. Ying Yang Twins,Get Low,
Missy Elliott,Work It,
Ludacris feat. Mystikal & I-20,Move Bitch,
Nelly,Hot in Herre,
50 Cent,In Da Club,
